City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
395,rio grande,-32.035,-52.0986,296.35,85,4,3.74,BR,1675308750
396,wanning,18.8003,110.3967,296.25,84,99,3.9,CN,1675308751
397,kahului,20.8947,-156.47,298.62,83,20,3.09,US,1675308752
398,sholapur,17.6833,75.9167,298.83,30,15,7.01,IN,1675308752
399,gualaquiza,-3.4,-78.55,290.86,98,72,0.68,EC,1675308753
400,coquimbo,-29.9533,-71.3436,290.0,88,0,2.57,CL,1675308753
401,merauke,-8.4667,140.3333,300.7,80,100,5.55,ID,1675308753
402,la trinite,14.7376,-60.9629,296.18,83,20,0.0,MQ,1675308754
403,nueva loja,0.0847,-76.8828,297.74,67,99,1.05,EC,1675308725
404,tezu,27.9167,96.1667,299.49,17,0,1.66,IN,1675308754
405,bolshoye selo,57.7177,38.9334,267.64,96,86,2.81,RU,1675308755
406,rush,53.5223,-6.0931,283.36,92,75,5.14,IE,1675308755
407,valdivia,-39.8142,-73.2459,288.2,74,5,1.42,CL,1675308756
408,yerbogachen,61.2767,108.0108,251.23,96,67,3.51,RU,1675308756
409,nagato,34.3833,131.2,281.51,62,100,5.82,JP,1675308522
410,vinh yen,21.31,105.5967,293.12,77,100,0.53,VN,1675308757
411,monrovia,6.3005,-10.7969,297.02,91,14,0.57,LR,1675308756
412,jiuquan,39.7432,98.5174,270.26,36,100,2.11,CN,1675308758
413,tuatapere,-46.1333,167.6833,297.63,56,100,1.72,NZ,1675308758
414,sur,22.5667,59.5289,293.02,65,1,1.69,OM,1675308758
415,sunrise manor,36.2111,-115.0731,283.88,38,0,2.06,US,1675308759
416,birin,26.8865,88.0718,288.83,43,0,2.32,NP,1675308759
417,miyazu,35.5333,135.1833,275.26,58,100,5.43,JP,1675308760
418,haimen,23.1935,116.6142,293.09,72,59,10.29,CN,1675308760
419,shanhetun,44.7,127.2,260.78,74,5,4.5,CN,1675308760
420,portree,57.4129,-6.1942,282.33,97,100,8.11,GB,1675308761
421,edd,13.9297,41.6925,297.32,70,33,0.9,ER,1675308761
422,outjo,-20.1167,16.15,291.78,79,99,1.71,NA,1675308762
423,port augusta,-32.5,137.7667,298.82,32,1,8.95,AU,1675308762
424,tchollire,8.4022,14.1698,294.61,22,1,0.37,CM,1675308763
425,praia,14.9215,-23.5087,293.45,73,75,7.72,CV,1675308763
426,sendafa,9.15,39.0333,282.79,53,9,0.92,ET,1675308763
427,portland,45.5234,-122.6762,278.47,70,40,2.06,US,1675308334
428,mukhen,48.1,136.1,257.71,73,96,4.17,RU,1675308764
429,mecca,21.4267,39.8261,290.28,59,33,5.7,SA,1675308685
430,ogembo,-0.7984,34.7253,287.58,81,51,1.82,KE,1675308765
431,ranong,9.9658,98.6348,303.11,48,55,1.09,TH,1675308765
432,seydi,39.4816,62.9137,277.87,89,43,4.81,TM,1675308765
433,leshukonskoye,64.8989,45.7622,265.46,97,97,2.98,RU,1675308766
434,mahebourg,-20.4081,57.7,299.96,88,40,1.54,MU,1675308766
435,komsomolskiy,40.4272,71.7189,272.55,80,100,3.09,UZ,1675308767
436,san marcos,33.1434,-117.1661,286.01,64,0,0.0,US,1675308767
437,lac du bonnet,50.2536,-96.0612,257.09,92,100,4.8,CA,1675308615
438,palembang,-2.9167,104.7458,301.2,83,100,3.09,ID,1675308768
439,piacabucu,-10.4056,-36.4344,297.73,86,20,2.26,BR,1675308768
440,kaitong,44.8135,123.15,264.85,32,0,3.68,CN,1675308769
441,koygorodok,60.445,50.9968,264.72,94,99,3.38,RU,1675308769
442,huambo,-12.7761,15.7392,287.27,95,100,0.28,AO,1675308770
443,mahon,39.8885,4.2658,279.46,93,0,1.54,ES,1675308770
444,luau,-10.7073,22.2247,289.79,98,99,1.48,AO,1675308771
445,yinchuan,38.4681,106.2731,271.03,20,95,1.91,CN,1675308771
446,sistranda,63.7256,8.834,274.13,62,100,6.23,NO,1675308771
447,shu,43.5983,73.7614,270.91,85,100,0.87,KZ,1675308772
448,barsovo,61.1667,73.1667,266.22,98,98,2.66,RU,1675308772
449,leningradskiy,69.3833,178.4167,249.17,99,76,2.49,RU,1675308773
450,rawson,-43.3002,-65.1023,291.0,74,22,7.53,AR,1675308773
451,herat,34.5,62.0,279.38,91,100,5.01,AF,1675308774
452,de aar,-30.6497,24.0123,291.7,60,0,1.98,ZA,1675308774
453,bozeman,45.6796,-111.0386,272.44,80,100,1.54,US,1675308774
454,flinders,-34.5833,150.8552,303.25,68,13,3.13,AU,1675308775
455,helong,42.5397,128.9972,264.86,59,16,5.4,CN,1675308775
456,buguda,19.8167,84.8,300.05,18,13,2.75,IN,1675308776
457,maceio,-9.6658,-35.7353,296.84,94,20,1.03,BR,1675308776
458,kargasok,59.0556,80.8572,257.45,93,69,3.05,RU,1675308776
459,harper,4.375,-7.7169,299.23,86,6,2.94,LR,1675308777
460,kamaishi,39.2667,141.8833,274.33,53,8,7.28,JP,1675308777
461,labytnangi,66.6572,66.4183,252.78,100,70,1.67,RU,1675308778
462,olafsvik,64.8945,-23.7142,272.62,72,100,11.53,IS,1675308778
463,dinghai,26.2847,119.7936,285.66,75,63,8.21,CN,1675308778
464,sobolevo,54.4299,31.8996,272.14,97,100,5.49,RU,1675308779
465,maniwaki,46.3834,-75.966,264.36,86,74,2.06,CA,1675308779
466,genhe,50.7833,121.5167,255.58,80,32,1.59,CN,1675308780
467,saint-francois,46.4154,3.9054,276.84,81,0,1.54,FR,1675308780
468,hovd,48.0056,91.6419,258.67,69,83,0.89,MN,1675308781
469,nouadhibou,20.931,-17.0347,289.32,77,97,9.52,MR,1675308781
470,batsfjord,70.6345,29.7185,272.11,93,75,0.51,NO,1675308782
471,sao filipe,14.8961,-24.4956,294.43,74,75,5.22,CV,1675308783
472,mokhsogollokh,61.4681,128.9203,247.77,93,100,0.62,RU,1675308784
473,kembe,4.6228,21.8865,293.14,63,93,0.37,CF,1675308788
474,gander,48.9682,-54.5906,259.22,84,100,3.6,CA,1675308788
475,wabana,47.6332,-52.9481,261.24,80,0,1.54,CA,1675308789
476,blagoyevo,63.3667,47.9167,264.65,97,94,2.59,RU,1675308791
477,sioux lookout,50.1001,-91.917,253.19,84,75,3.09,CA,1675308793
478,vila velha,-20.3297,-40.2925,298.68,88,40,3.09,BR,1675308793
479,fort smith,35.3859,-94.3986,273.33,89,75,1.54,US,1675308591
480,umm lajj,25.0213,37.2685,289.97,49,2,3.32,SA,1675308794
481,buala,-8.145,159.5921,301.32,78,100,2.65,SB,1675308795
482,bend,44.0582,-121.3153,275.22,71,0,2.06,US,1675308552
483,hirtshals,57.5881,9.9592,274.94,68,77,4.34,DK,1675308796
484,posse,-14.0931,-46.3694,294.97,69,98,1.85,BR,1675308796
485,greenwood,34.1668,-82.1165,283.6,75,100,2.57,US,1675308555
486,trelew,-43.249,-65.3051,291.27,72,24,7.13,AR,1675308743
487,alice springs,-23.7,133.8833,300.9,28,0,4.12,AU,1675308798
488,juneau,58.3019,-134.4197,273.27,91,100,1.54,US,1675308525
489,adrar,20.5022,-10.0711,288.06,17,100,4.64,MR,1675308799
490,tutoia,-2.7619,-42.2744,298.46,88,100,4.4,BR,1675308799
491,dorogobuzh,54.915,33.2972,270.61,93,100,5.39,RU,1675308800
492,chuzhou,32.3219,118.2978,278.43,44,99,4.97,CN,1675308771
493,longwy,49.5194,5.7688,279.31,92,100,4.47,FR,1675308801
494,sawtell,-30.3833,153.1,306.03,74,40,10.8,AU,1675308802
495,faya,18.3851,42.4509,284.44,71,19,2.99,SA,1675308803
496,copiapo,-27.3667,-70.3333,288.98,61,0,0.89,CL,1675308568
497,matadi,-5.8167,13.45,297.21,85,83,1.14,CD,1675308804
498,lithakia,37.7167,20.8333,274.8,60,5,3.84,GR,1675308804
499,natal,-5.795,-35.2094,299.51,78,20,4.63,BR,1675308565
500,marsabit,2.3284,37.9899,291.0,69,1,4.9,KE,1675308805
501,barcelona,41.3888,2.159,282.77,64,0,6.17,ES,1675308327
502,hoquiam,46.9809,-123.8893,280.14,78,0,3.09,US,1675308807
